Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients' breathing improved,How often home health patients had to be admitted to the hospital,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,DTC Denominator,DTC Risk-Standardized Rate,Quality of patient care star rating
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,2.0,82.103,3.245
1.0,1.0,1.0,96.7,80.6,100.0,94.4,8.0,0.0,99.2,149.0,82.21,5.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,56.0,81.29,3.245
1.0,1.0,1.0,90.9,85.9,77.8,81.5,12.2,0.0,96.7,268.0,79.27,3.0
1.0,1.0,1.0,89.2,71.1,87.3,69.5,9.3,0.0,95.1,329.0,90.38,3.5
1.0,1.0,1.0,94.6,94.2,81.5,86.4,16.2,0.9,95.7,384.0,75.46,3.0
1.0,1.0,1.0,99.1,93.7,99.7,87.5,15.2,0.0,96.4,80.0,81.79,4.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
1.0,1.0,1.0,95.3,66.2,100.0,100.0,10.3,0.0,98.6,253.0,74.8,5.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,3.0,82.103,3.245
1.0,1.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,4.0,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,23.0,81.52,3.245
1.0,1.0,1.0,98.5,94.5,97.8,100.0,7.3,0.0,98.5,90.0,93.68,4.5
1.0,1.0,1.0,100.0,95.4,96.7,91.6,11.1,0.0,99.8,458.0,89.33,5.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,32.0,87.29,3.245
1.0,1.0,1.0,99.3,55.0,82.3,80.9,10.4,0.0,97.4,216.0,91.09,3.0
0.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,10.0,82.103,3.245
1.0,1.0,1.0,82.6,74.381,98.3,86.369,16.4,0.0,100.0,116.0,90.29,4.5
1.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,98.2,68.7,87.6,93.4,12.4,0.3,95.5,387.0,82.6,4.0
1.0,1.0,1.0,99.4,60.5,80.8,87.1,12.5,0.9,96.7,1023.0,85.16,3.5
1.0,1.0,1.0,97.5,79.4,84.5,93.4,13.924,0.5,96.0,17.0,82.103,4.0
1.0,1.0,1.0,98.1,88.5,86.2,92.9,15.4,0.1,98.2,852.0,75.41,4.0
1.0,1.0,1.0,97.0,78.2,83.7,91.9,14.1,0.0,98.5,219.0,83.97,3.5
